Saison,Verletzung,von,bis,Spiele_verpasst,Quelle,Spieler,Team
24/25,Oberschenkelverletzung,13.01.2025,22.02.2025,41 Tage,Transfermarkt,Timo Werner,RB Leipzig
24/25,Hüftverletzung,04.11.2024,09.11.2024,6 Tage,Transfermarkt,Timo Werner,RB Leipzig
23/24,Oberschenkelprobleme,29.04.2024,30.06.2024,63 Tage,Transfermarkt,Timo Werner,RB Leipzig
23/24,Adduktorenbeschwerden,23.11.2023,10.12.2023,18 Tage,Transfermarkt,Timo Werner,RB Leipzig
23/24,Rückenprobleme,25.09.2023,01.10.2023,7 Tage,Transfermarkt,Timo Werner,RB Leipzig
22/23,Sprunggelenksprobleme,15.06.2023,01.07.2023,17 Tage,Transfermarkt,Timo Werner,RB Leipzig
22/23,Erkältung,18.05.2023,23.05.2023,6 Tage,Transfermarkt,Timo Werner,RB Leipzig
22/23,Syndesmosebandriss,03.11.2022,02.01.2023,61 Tage,Transfermarkt,Timo Werner,RB Leipzig
22/23,Infekt,13.10.2022,24.10.2022,12 Tage,Transfermarkt,Timo Werner,RB Leipzig
21/22,Corona-Virus,13.12.2021,03.01.2022,22 Tage,Transfermarkt,Timo Werner,RB Leipzig
21/22,Zerrung,21.10.2021,15.11.2021,26 Tage,Transfermarkt,Timo Werner,RB Leipzig
20/21,Oberschenkelzerrung,08.02.2021,15.02.2021,8 Tage,Transfermarkt,Timo Werner,RB Leipzig
19/20,Schlag,04.11.2019,11.11.2019,8 Tage,Transfermarkt,Timo Werner,RB Leipzig
19/20,Grippaler Infekt,03.10.2019,10.10.2019,8 Tage,Transfermarkt,Timo Werner,RB Leipzig
18/19,Krank,21.02.2019,04.03.2019,12 Tage,Transfermarkt,Timo Werner,RB Leipzig
