Saison,Verletzung,von,bis,Spiele_verpasst,Spieler,Team
24/25,unbekannte Verletzung,13.09.2024,14.10.2024,32 Tage,Maximilian Arnold,VfL Wolfsburg
23/24,Fußverletzung,06.05.2024,24.06.2024,50 Tage,Maximilian Arnold,VfL Wolfsburg
23/24,Rückenprobleme,16.02.2024,10.03.2024,24 Tage,Maximilian Arnold,VfL Wolfsburg
23/24,Muskelfaserriss im Adduktorenbereich,26.01.2024,08.02.2024,14 Tage,Maximilian Arnold,VfL Wolfsburg
23/24,Muskelverletzung,23.11.2023,13.01.2024,52 Tage,Maximilian Arnold,VfL Wolfsburg
23/24,Probleme im rechten Hüftbeuger,30.09.2023,16.10.2023,17 Tage,Maximilian Arnold,VfL Wolfsburg
21/22,Schulterverletzung,08.11.2021,12.03.2022,125 Tage,Maximilian Arnold,VfL Wolfsburg
20/21,Wadenverletzung,03.11.2020,26.12.2020,54 Tage,Maximilian Arnold,VfL Wolfsburg
19/20,Leistenverletzung,03.02.2020,18.02.2020,16 Tage,Maximilian Arnold,VfL Wolfsburg
19/20,Oberschenkelverletzung,23.10.2019,25.12.2019,64 Tage,Maximilian Arnold,VfL Wolfsburg
18/19,Muskelzerrung,10.03.2019,11.05.2019,63 Tage,Maximilian Arnold,VfL Wolfsburg
18/19,Wadenverletzung,27.12.2018,12.01.2019,17 Tage,Maximilian Arnold,VfL Wolfsburg
18/19,Muskelzerrung,29.11.2018,14.12.2018,16 Tage,Maximilian Arnold,VfL Wolfsburg
18/19,Oberschenkelverletzung,27.08.2018,14.09.2018,19 Tage,Maximilian Arnold,VfL Wolfsburg
18/19,Schlag,26.07.2018,17.08.2018,23 Tage,Maximilian Arnold,VfL Wolfsburg
